Page,Placement,Asset Type,Suggested Keywords,Suggested Source,Notes,Example Filename
About,Mission section icon,Icon (SVG),heart hands; handshake,https://lucide.dev/icons/,Accent color,icon_heart-handshake.svg
Contact,Map pin,Icon (SVG),map-pin; navigation,https://heroicons.com,Pair with map embed,icon_map-pin.svg
Contact,Support channel icons,Icons (SVG),phone; mailbox; whatsapp; sms,https://simpleicons.org,Respect brand usage,icon_phone.svg
Contact,Form illustration,Illustration,customer support; contact us pet; messaging,https://storyset.com/communication,Right column artwork,contact_art.svg
Admin,Sidebar icons,Icons (SVG),dashboard; calendar; users; services; settings; reports,https://tabler.io/icons,Outline 20–24px,icon_gauge.svg
Admin,Empty states,Illustrations,no data charts; empty list,https://undraw.co/illustrations,Light stroke,empty_table.svg
Admin,User avatars,Avatars,staff avatars vector; initials avatars,https://www.dicebear.com/styles/initials,Auto initials fallback,avatar_initials.svg
404,Lost pet illustration,Illustration,lost dog; lost cat; 404 page not found pet,https://storyset.com/oops,Friendly tone,404_lost_pet.svg
Maintenance,Wrench/paw,Icon (SVG),wrench; tools; paw,https://phosphoricons.com,Centered icon + text,icon_wrench.svg
Email,Header logo,Logo (SVG),veterinary logo paw stethoscope,https://logomakr.com,Export SVG for crisp email,logo_clinic.svg
Email,Social icons,Icons (PNG/SVG),facebook; twitter; instagram; whatsapp,https://simpleicons.org,Use brand colors,icon_instagram.svg
SMS,Notification icon,Icon (SVG),sms; bell; mobile,https://lucide.dev/icons/,Small inline icon,icon_sms.svg
Payments,Payment icons,Icons (SVG),credit-card; mpesa logo; paypal; stripe,https://simpleicons.org,Only if payments enabled,icon_credit-card.svg
UI,Loading,Lottie/JSON animation,loading spinner lottie,https://lottiefiles.com/search?q=loading,Optional micro-interactions,loading.json
UI,Success toast,Icon (SVG),check-circle,https://heroicons.com,Green accent,icon_check-circle.svg
UI,Error toast,Icon (SVG),x-circle,https://heroicons.com,Red accent,icon_x-circle.svg
Services,Surgery,Photo (WebP),veterinary surgery operating room (non-graphic),https://unsplash.com/s/photos/veterinary-surgery,Blur sensitive content,svc_surgery.webp
Services,Grooming,Photo (WebP),pet grooming salon; dog bath,https://pexels.com/search/pet%20grooming/,"Bright, friendly",svc_grooming.webp
Services,Dental,Photo (WebP),pet dental cleaning; dog teeth check,https://pexels.com/search/pet%20dental/,Close-up but non-graphic,svc_dental.webp
Services,Vaccination,Photo (WebP),pet vaccination vet nurse,https://pexels.com/search/pet%20vaccination/,Avoid needles near faces if sensitive,svc_vaccination2.webp
TeleVet,Chat illustration,Illustration,telemedicine vet; online consultation pet,https://storyset.com/online,For future module,televet.svg
Trust,Accessibility icons,Icons (SVG),wheelchair; captions; hearing,https://tabler.io/icons,Footer trust strip,icon_wheelchair.svg
Trust,Privacy/Security,Icons (SVG),lock; shield; gdpr,https://lucide.dev/icons/,Policy pages,icon_lock.svg
Success,Celebration paw,Illustration,pet celebration; confetti paw,https://storyset.com/success,Thank-you screen,success_paw.svg
Empty,No pets yet,Illustration,add pet illustration,https://undraw.co/illustrations,Encourage add,empty_pets.svg
Location,Map placeholder,Illustration,map illustration city,https://storyset.com/maps,When maps disabled,map_placeholder.svg
Footer,Clinic interior small,Photo (WebP),veterinary clinic interior clean,https://unsplash.com/s/photos/veterinary-clinic,Low height banner,footer_clinic.webp
Footer,Paw pattern,SVG pattern,paw pattern seamless vector,https://www.vecteezy.com/free-vector/paw-pattern,Subtle background texture,bg_paw_pattern.svg
